fastId	X	Y
641	-10857.768	-1705.116
642	-10288.389	-1755.666
643	-10262.879	-1757.920
644	-10237.368	-1760.175
645	-10214.011	-1724.099
646	-10241.892	-1721.634
647	-10269.773	-1719.170
648	-10297.654	-1716.706
649	-10843.723	-1668.709
650	-10871.848	-1666.270
651	-10899.972	-1663.832
652	-10901.537	-1554.344
653	-10874.735	-1556.712
654	-10847.934	-1559.080
655	-10293.717	-1608.042
656	-10267.069	-1610.397
657	-10240.421	-1612.751
658	-10231.094	-1471.724
659	-10259.645	-1469.203
660	-10288.195	-1466.679
661	-10834.796	-1418.400
662	-10861.598	-1416.034
663	-10888.401	-1413.665
664	-11357.883	-1268.522
665	-11322.304	-1271.707
666	-11286.727	-1274.889
667	-10916.296	-1308.042
668	-10886.997	-1310.664
669	-10857.698	-1313.286
670	-10271.663	-1365.275
671	-10242.361	-1367.864
672	-10213.058	-1370.451
673	-10224.398	-1331.285
674	-10249.899	-1329.032
675	-10275.399	-1326.781
676	-10856.373	-1276.565
677	-10885.497	-1274.005
678	-10914.533	-1270.448
679	-11329.077	-1234.006
680	-11363.436	-1230.986
681	-11397.794	-1227.966
682	-13034.845	-1653.977
683	-13000.190	-1657.006
684	-12965.639	-1660.832
685	-12540.845	-1697.485
686	-12508.847	-1700.313
687	-12476.847	-1703.141
688	-12481.138	-1668.739
689	-12515.289	-1665.721
690	-12549.441	-1662.702
691	-12964.826	-1625.988
692	-12998.929	-1622.973
693	-13033.030	-1619.959
694	-12946.846	-1518.533
695	-12981.974	-1515.463
696	-13017.103	-1512.393
697	-12527.414	-1554.508
698	-12491.201	-1557.707
699	-12454.987	-1560.908
700	-12463.321	-1526.128
701	-12497.936	-1523.070
702	-12532.553	-1520.010
703	-12914.012	-1487.811
704	-12948.692	-1485.751
705	-12983.283	-1482.694
706	-12525.399	-1409.096
707	-12491.147	-1412.121
708	-12456.897	-1415.146
709	-12443.976	-1278.102
710	-12478.241	-1275.076
711	-12512.508	-1272.051
712	-12529.915	-1165.291
713	-12494.558	-1168.465
714	-12459.203	-1171.640
715	-12467.589	-1135.280
716	-12501.726	-1132.268
717	-12535.866	-1129.256
718	-14583.750	-1555.085
719	-14547.629	-1558.001
720	-14149.303	-1582.319
721	-13979.001	-1591.725
722	-13945.608	-1592.656
723	-13551.980	-1613.659
724	-13525.684	-1615.128
725	-13499.395	-1616.690
726	-13473.963	-1623.165
727	-13483.440	-1582.766
728	-13516.326	-1581.197
729	-13549.073	-1579.368
730	-13942.044	-1557.399
731	-13974.792	-1555.568
732	-14110.595	-1547.976
733	-14145.127	-1546.047
734	-14526.978	-1524.621
735	-14552.338	-1523.202
736	-14581.875	-1521.565
737	-14569.268	-1430.124
738	-14534.701	-1431.587
739	-14500.134	-1433.051
740	-14138.403	-1448.360
741	-14101.365	-1451.473
742	-13975.078	-1456.818
743	-13939.021	-1456.843
744	-13543.840	-1473.569
745	-13517.670	-1474.677
746	-13491.498	-1475.793
747	-13465.806	-1479.579
748	-13467.526	-1440.849
749	-13503.110	-1441.341
750	-13538.519	-1439.843
751	-13928.011	-1423.359
752	-13963.419	-1421.860
753	-14102.239	-1415.985
754	-14136.926	-1414.518
755	-14490.672	-1399.953
756	-14525.844	-1398.464
757	-14561.015	-1396.976
758	-1316.006	-2015.835
759	-1343.348	-2011.796
760	-1290.787	-1972.168
761	-1319.396	-1971.995
762	-1305.858	-1293.421
763	-1282.898	-1230.107
764	-1246.666	-1168.544
765	-1220.196	-1103.839
766	-1186.921	-1039.060
767	-1246.388	-682.229
768	-1248.398	-710.079
769	-2561.318	-2727.323
770	-2597.569	-2724.133
771	-2633.822	-2720.942
772	-1954.490	-2779.886
773	-1925.646	-2782.281
774	-1896.812	-2784.817
775	-1896.727	-2748.862
776	-1924.683	-2745.398
777	-1952.387	-2740.566
778	-2547.313	-2690.558
779	-2582.049	-2687.499
780	-2616.783	-2684.440
781	-2584.093	-2580.614
782	-2549.253	-2583.678
783	-2514.413	-2586.743
784	-1883.279	-2642.333
785	-1914.900	-2643.405
786	-1945.708	-2650.511
787	-1914.048	-2594.075
788	-2518.995	-2549.320
789	-2553.860	-2546.252
790	-2588.725	-2543.183
791	-2588.900	-2439.137
792	-2553.987	-2439.198
793	-2519.140	-2442.261
794	-2066.134	-2482.221
795	-2032.140	-2490.215
796	-2000.581	-2505.179
797	-1880.199	-2512.517
798	-2002.074	-2450.082
799	-2036.851	-2447.657
800	-2071.655	-2444.593
801	-2524.110	-2404.776
802	-2558.764	-2400.536
803	-2591.934	-2389.744
804	-2486.718	-2303.291
805	-2521.523	-2300.501
806	-2556.263	-2303.112
807	-2034.391	-2342.050
808	-1999.604	-2345.107
809	-1964.864	-2348.580
810	-2413.672	-2158.740
811	-2443.267	-2155.879
812	-2558.398	-1905.723
813	-2529.249	-1913.386
814	-2500.456	-1927.172
815	-2268.560	-1930.677
816	-2238.464	-1933.317
817	-2208.368	-1935.960
818	-2178.270	-1938.601
819	-2148.174	-1941.242
820	-2118.078	-1943.884
821	-1937.509	-1959.731
822	-1907.417	-1962.371
823	-1877.324	-1965.011
824	-1817.861	-1930.707
825	-1848.703	-1928.001
826	-1879.545	-1925.294
827	-2126.298	-1903.633
828	-2157.144	-1900.924
829	-2187.990	-1898.217
830	-2218.836	-1895.509
831	-2249.682	-1892.800
832	-2280.528	-1890.091
833	-2501.688	-1867.946
834	-2534.569	-1867.787
835	-2567.380	-1864.904
836	-1793.860	-769.865
837	-1822.914	-771.259
838	-1851.279	-777.762
839	-1962.029	-767.776
840	-1990.274	-751.489
841	-1986.576	-716.306
842	-1954.453	-719.110
843	-1922.331	-721.913
844	-1890.209	-724.716
845	-1858.088	-727.519
846	-1825.968	-730.321
847	-1793.847	-733.124
848	-3768.702	-2481.435
849	-3732.898	-2480.398
850	-3697.143	-2483.551
851	-3155.333	-2532.825
852	-3119.813	-2533.475
853	-3084.362	-2536.595
854	-3092.825	-2498.809
